Local Authority District code (2019),Local Authority District name (2019,Any cycling Once per month,Any cycling Once per week,Any cycling Three times per week,Any cycling Five times per week,Cycling for leisure Once per month,Cycling for leisure Once per week,Cycling for leisure Three times per week,Cycling for leisure Five times per week,Cycling for travel Once per month,Cycling for travel Once per week,Cycling for travel Three times per week,Cycling for travel Five times per week
E92000001,ENGLAND,16.1,11.2,5.3,3.2,13.1,7.6,2.1,1,7.6,5.9,3.1,1.9
E12000001,North East,12.3,8.7,3.6,2.1,10.7,6.8,1.9,0.8,4.6,3.6,1.8,1
E06000047,County Durham,10,7,2.4,1.5,9.6,6.2,1.5,0.7,1.2,1.2,0.9,0.5
E06000005,Darlington,12.9,9.4,3.8,2.6,10.5,7.6,2.7,1.1,6.7,3.3,2.1,1
E06000001,Hartlepool,8.7,6,2.9,1.3,8,5.5,1.5,0.2,3.2,1.7,0.9,0.9
E06000002,Middlesbrough,11.6,7.1,3.3,2.9,9.9,4.8,2.4,2,4.6,3.9,2.6,1.9
E06000057,Northumberland,13.6,9.7,4.4,2.1,13.6,9.3,4,1.6,2.5,2.1,1,0.5
E06000003,Redcar and Cleveland,17.6,14.2,4.7,2.5,15.8,13.3,2.7,0.9,7.8,4.4,1.7,0.3
E06000004,Stockton-on-Tees,15.4,11,3.4,1.4,11.9,6.9,1.4,0.9,7.2,6.1,0.9,0.5
E11000007,Tyne and Wear,12.1,8.4,4,2.4,9.8,5.7,1.5,0.4,6,4.7,2.4,1.5
E08000037,Gateshead,8.9,5.4,2.9,2,7.4,2.9,1.1,0.4,3.9,3.2,2.1,1
E08000021,Newcastle upon Tyne,16.3,11.2,6.1,4,12.3,6.3,1.8,0.6,9.7,7.5,4.8,3.2
E08000022,North Tyneside,14.4,11.6,3.4,2.3,11.4,8.6,2.1,0.4,7.9,5.3,2.1,0.7
E08000023,South Tyneside,9.5,6.6,3.2,2,7.9,5.4,1.4,0.5,4,3.2,1.7,1.3
E08000024,Sunderland,9.3,6.2,3.4,1.3,8.8,5.3,1,0.1,3.1,3.1,0.8,0.8
E12000002,North West,13.6,9.6,4.4,2.6,11.8,7.3,2.4,1.2,5.6,4.4,2.1,1.4
E06000008,Blackburn with Darwen,9.6,5.4,2.5,1.8,7.5,4.6,2.1,1.5,4.6,1.1,0.3,0
E06000009,Blackpool,16.7,11.4,3.6,2.6,14.8,7.5,1.7,0.7,6.6,5.8,2.2,1.8
E06000049,Cheshire East,12.3,8.7,4.9,2,11.3,6.7,1.9,0.9,5,4.6,2.4,1
E06000050,Cheshire West and Chester,14.2,8.7,2.4,1.3,13.4,7.5,1.6,0.5,3.7,2.3,1.2,0.5
E06000006,Halton,12.1,10.3,5.9,3.3,10.6,8.1,3.8,1.9,5.4,4.8,2.9,2.4
E06000007,Warrington,16.2,12.8,6.9,4.8,14.1,9.8,5.5,3.6,8.1,6.7,2.4,2.1
E10000006,Cumbria,16,11,4.4,2.8,13.9,8.9,2.8,1.5,5.8,4.1,1.8,1
E07000026,Allerdale,14.9,11.5,4.3,2.9,13.4,10.2,2.2,1.4,4.8,2.9,1.5,1.2
E07000027,Barrow-in-Furness,15.7,11.4,5.6,3.6,11.7,7.3,3.4,1,9.1,6.8,2.5,1.8
E07000028,Carlisle,16.8,11.3,3.1,2.1,13.4,7.7,1.3,0.8,6.8,5.3,1.5,1.4
E07000029,Copeland,8.6,5.8,3.1,1,8,4.9,2.6,0.4,2.4,1.7,1,0.4
E07000030,Eden,17.4,10.6,3.5,1.5,17.2,10.3,2.1,1,3,2.2,0.5,0
E07000031,South Lakeland,20.4,13.7,6.3,4.7,18.4,11.8,4.7,3.7,7.2,4.8,3.1,0.8
E11000001,Greater Manchester,12.7,8.8,4.6,2.9,10.4,6.2,2.3,1.2,5.9,4.8,2.6,1.9
E08000001,Bolton,7.3,5.3,3.1,2.1,6.9,4.4,2.3,1.5,3.1,2.3,1.5,1.4
E08000002,Bury,13.8,8.9,3.8,1.9,12,7.3,2.2,0.9,4.1,3,1.9,1.2
E08000003,Manchester,17,12.2,7.2,5,10.8,6,1.9,1,11.5,9.2,5.5,4.1
E08000004,Oldham,6.5,4,1.8,1.1,5.9,3.3,1.4,0.7,2.1,1.8,0.6,0.5
E08000005,Rochdale,10.1,7.5,3.8,2.9,9.6,6.4,2.8,2.2,3.4,3.2,2,1.9
E08000006,Salford,11.9,8.4,5.1,3.5,9.6,6.3,2.2,1.1,6.3,5.3,2.9,2
E08000007,Stockport,15,9.2,4.8,3.1,13.4,7.3,3.2,2,5.7,4.2,2.4,2.1
E08000008,Tameside,12.2,8.9,3.6,2.9,10.5,6,2.7,1.6,6,4.3,1.9,1.5
E08000009,Trafford,15.1,10.1,5.3,2.5,11.9,5.7,2.1,1.3,7.2,6.4,2.7,1.1
E08000010,Wigan,12.6,9.1,3.8,1.9,11.9,8.4,2.8,0.3,3.4,3,1.2,0.7
E10000017,Lancashire,13.8,9.6,4.3,2.2,12.1,7.9,2.8,1.6,5.1,3.7,1.4,0.7
E07000117,Burnley,11,5.3,1.8,0.1,10.2,4.7,1.8,0.1,2.3,1,0,0
E07000118,Chorley,14.9,11.1,6.6,3.8,14.1,10.4,4.6,3.1,5.2,3.2,1.5,0.3
E07000119,Fylde,16.4,12,6.1,4.6,15,10.9,4.9,3.8,6.9,4.1,2.8,2.1
E07000120,Hyndburn,8,5.3,2.3,0.8,7.9,4.7,2.1,0.8,2.5,1.3,0,0
E07000121,Lancaster,18.3,14.1,5.4,1.8,14.1,8.8,2.2,1.3,10.6,9.2,1.4,0.4
E07000122,Pendle,11.5,6.7,3.2,2,10.4,5.5,2.7,1.4,3.9,1.9,1.4,0.1
E07000123,Preston,11.9,7.8,4.2,2.6,10.1,6.7,3.2,2.3,5.1,3,0.7,0.3
E07000124,Ribble Valley,15.7,11.6,5.6,1.8,14.8,10.8,3.3,1.1,4.1,3.4,2.3,1
E07000125,Rossendale,10.4,9.1,2.2,1,7.8,6.3,1.8,0.9,3,2.9,0.3,0.1
E07000126,South Ribble,16,9.2,4.8,2.6,14.1,8.4,2,0.8,5.9,4.3,2.4,1.9
E07000127,West Lancashire,13,8.4,3.1,1.7,11.8,7.4,2.4,1.4,2.8,1.8,1,0.3
E07000128,Wyre,14.4,11.6,4.8,2.6,13,9.3,2.4,1.2,5,4.7,2.8,1.6
E11000002,Merseyside,14.5,11,4.4,2.5,13,8.4,1.7,0.6,5.7,4.8,2.3,1.6
E08000011,Knowsley,11.2,8.7,2.3,1.7,10.4,6.4,1.2,0.9,4.1,3.2,1.1,1
E08000012,Liverpool,15.7,10.9,5,2.9,13.3,7.8,1.4,0.6,7.1,5.9,3.2,2
E08000014,Sefton,16.6,12.2,4.8,2.4,15.2,10.3,2.6,0.8,6.1,5.1,1.4,1.1
E08000013,St. Helens,9.7,8.3,3.2,0.8,9.5,5.7,0.9,0.4,3.6,3,0.4,0.4
E08000015,Wirral,15.1,12.6,4.9,3.3,13.7,10.3,2.4,0.4,4.9,4.6,3.2,2.3
E12000003,Yorkshire and The Humber,14.3,9.7,4.5,2.5,12,7,2.3,0.9,5.9,4.4,2.1,1.3
E06000011,East Riding of Yorkshire,17.3,12.4,6.3,1.9,13.9,9.2,3.4,1.2,7.2,4.8,1.7,0.7
E06000010,"Kingston upon Hull, City of",16.5,13.7,7.8,3.5,12.2,8.7,3.9,0.4,11,7.5,4.7,1.5
E06000012,North East Lincolnshire,17.5,12.9,5.9,4.9,14.1,8.4,3.4,1.6,9.3,6.7,3.8,2.4
E06000013,North Lincolnshire,14.6,8.5,3.9,1.9,12.4,5.6,1.3,0.7,4.9,4.7,2.3,1.1
E06000014,York,31,22.1,12.9,10.2,18.9,8.8,2.7,1.5,23.6,17.8,10.1,7.4
E10000023,North Yorkshire,18.1,11.7,4.5,2.3,16.3,10.1,3,1.1,5,3.2,1.6,1
E07000163,Craven,15.4,11.6,5.8,3,14.8,10.5,4.1,1.2,4.5,3.2,1.7,0.5
