2011 super output area - middle layer,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household
E02000166 : Camden 001,100,48.2,38.1,10.9,2.1,0.7
E02000167 : Camden 002,100,41.3,42.8,12.7,2.4,0.9
E02000168 : Camden 003,100,55.5,37.6,6.2,0.6,0.2
E02000169 : Camden 004,100,32.4,44.8,17.5,3.8,1.5
E02000170 : Camden 005,100,49.4,39.4,9.5,1.4,0.3
E02000171 : Camden 006,100,51.3,40.9,6.8,1,0.1
E02000172 : Camden 007,100,66.6,29.3,3.7,0.3,0.1
E02000173 : Camden 008,100,52.9,36.8,8.5,1.3,0.5
E02000174 : Camden 009,100,62.8,32.8,3.9,0.4,0.2
E02000175 : Camden 010,100,58.8,34.7,5.6,0.9,0.1
E02000176 : Camden 011,100,54,38.3,6.8,0.8,0.2
E02000177 : Camden 012,100,64.5,30.2,4.6,0.6,0.2
E02000178 : Camden 013,100,66.3,29.3,3.8,0.3,0.2
E02000179 : Camden 014,100,52,38.5,7.5,1.5,0.6
E02000180 : Camden 015,100,63,31.9,4.2,0.8,0.1
E02000181 : Camden 016,100,51.4,40.7,6.7,1.1,0.2
E02000182 : Camden 017,100,49.9,38.7,8.8,2,0.6
E02000183 : Camden 018,100,53.1,36.6,8.4,1.5,0.4
E02000184 : Camden 019,100,70.2,26.4,3,0.3,0.1
E02000185 : Camden 020,100,68.6,27.4,3.5,0.4,0.2
E02000186 : Camden 021,100,67.5,25.1,6.1,0.8,0.5
E02000187 : Camden 022,100,73.4,23.3,3,0.2,0.1
E02000188 : Camden 023,100,73.2,23.5,2.7,0.5,0.1
E02000189 : Camden 024,100,75.7,21.7,2.3,0.3,0
E02000190 : Camden 025,100,82.5,15.8,1.6,0.1,0
E02000191 : Camden 026,100,78.1,18.8,2.5,0.6,0
E02000192 : Camden 027,100,73.6,23.1,2.8,0.4,0.1
E02000193 : Camden 028,100,77.4,18.9,2.8,0.5,0.3
E02000001 : City of London 001,100,69.4,25.1,3.9,1.2,0.4
E02000345 : Hackney 001,100,56.1,37.8,4.9,1,0.2
E02000346 : Hackney 002,100,69.6,26.8,3.2,0.3,0.1
E02000347 : Hackney 003,100,60.7,34.4,4.2,0.5,0.2
E02000348 : Hackney 004,100,64.3,31.7,3.6,0.4,0.1
E02000350 : Hackney 006,100,59.7,33.5,5.9,0.7,0.3
E02000351 : Hackney 007,100,63.6,31.4,4.5,0.4,0.2
E02000352 : Hackney 008,100,58.2,36.4,4.9,0.4,0.1
E02000353 : Hackney 009,100,55.2,38.5,5.6,0.5,0.2
E02000354 : Hackney 010,100,66.6,28.9,3.9,0.4,0.1
E02000355 : Hackney 011,100,57.3,34.2,7.2,1.1,0.2
E02000356 : Hackney 012,100,57.1,38.1,4.3,0.3,0.3
E02000357 : Hackney 013,100,63.7,31.9,4.1,0.4,0
E02000358 : Hackney 014,100,67.4,28.4,3.7,0.4,0.2
E02000359 : Hackney 015,100,55.3,37.3,6.5,0.8,0.1
E02000360 : Hackney 016,100,69.7,27.1,2.6,0.4,0.1
E02000361 : Hackney 017,100,72,25.3,2.4,0.1,0.2
