2011 super output area - middle layer,All categories Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E02000166  Camden 001,3928,410,785,1370,222,41,19,22,49,681,329,26521.3,9.1
E02000167  Camden 002,4296,364,512,1766,278,45,10,25,67,935,294,30071.9,9.8
E02000168  Camden 003,4463,453,1303,1260,220,50,20,25,52,690,390,26800,7.9
E02000169  Camden 004,3582,246,381,1567,273,47,21,14,52,725,256,28241.9,10.9
E02000170  Camden 005,4976,302,713,2312,473,78,35,29,53,560,421,41634.7,10.4
E02000171  Camden 006,4210,516,997,1304,251,67,18,18,46,633,360,25904.7,8.1
E02000172  Camden 007,4208,768,1325,915,203,39,17,26,48,453,414,24848.4,7.4
E02000173  Camden 008,4314,571,761,1559,322,54,30,25,40,684,268,27861.2,8.3
E02000174  Camden 009,4592,587,1804,913,184,53,13,14,78,531,415,33363.1,9.2
E02000175  Camden 010,5504,370,808,2598,523,113,45,35,59,474,479,44779.9,9.8
E02000176  Camden 011,3928,337,906,1386,290,51,20,22,52,595,269,27266.2,8.9
E02000177  Camden 012,4089,686,1275,972,240,53,20,19,47,425,352,26457.2,8
E02000178  Camden 013,4881,376,850,2174,447,66,26,22,57,426,437,38415.2,9.6
E02000179  Camden 014,3050,309,835,902,192,32,9,12,38,447,274,18534.3,8
E02000180  Camden 015,3989,586,1576,659,173,41,9,24,55,517,349,24603.7,7.9
E02000181  Camden 016,4816,338,933,2012,479,107,27,34,59,511,316,37772.3,9.5
E02000182  Camden 017,3085,289,832,900,245,49,14,14,39,473,230,20835.9,8.7
E02000183  Camden 018,4242,561,1495,757,182,39,12,26,65,744,361,27232.5,8.7
E02000184  Camden 019,3970,729,1464,589,182,50,21,17,59,434,425,23742.5,7.6
E02000185  Camden 020,3749,419,1102,1073,280,54,12,23,51,422,313,25625.8,8.5
E02000186  Camden 021,3582,772,1331,387,162,31,13,23,43,529,291,20605.9,7.5
E02000187  Camden 022,2884,896,938,329,128,38,11,15,28,242,259,14003,5.9
E02000188  Camden 023,2962,943,925,298,143,46,11,18,33,222,323,15717.6,6.5
E02000189  Camden 024,2198,709,600,248,85,34,7,12,22,261,220,11227.9,6.5
E02000190  Camden 025,2804,974,714,257,117,26,14,25,64,348,265,19748.4,9
E02000191  Camden 026,3089,1207,715,247,116,41,21,15,68,397,262,19419.2,8
E02000192  Camden 027,3467,1419,826,317,116,37,9,18,54,402,269,18539.8,6.6
E02000193  Camden 028,4108,1561,942,302,240,35,5,13,71,605,334,23825.1,7.5
E02000001  City of London 001,4747,2257,846,384,137,31,23,17,83,687,282,26319.9,7
E02000345  Hackney 001,3081,904,345,782,217,30,7,11,22,342,421,14902.8,6.4
E02000346  Hackney 002,2347,201,452,888,199,44,6,14,30,171,342,17266.8,9.4
E02000347  Hackney 003,3009,651,452,900,252,30,10,6,29,333,346,18348.5,7.9
E02000348  Hackney 004,2798,654,449,808,201,49,12,5,30,255,335,17685.1,8
E02000350  Hackney 006,5078,573,960,1836,431,51,12,15,56,563,581,32728.7,8.3
E02000351  Hackney 007,5350,265,1075,2307,481,109,25,15,87,439,547,42354.4,9.7
E02000352  Hackney 008,3284,344,790,1150,226,30,8,16,29,361,330,20171.9,7.8
E02000353  Hackney 009,4598,355,1029,1744,344,47,12,26,44,594,403,29856.8,8.3
E02000354  Hackney 010,4350,514,909,1487,365,57,11,33,51,427,496,30760.7,9
E02000355  Hackney 011,4358,434,856,1496,370,46,8,31,33,529,555,28608.5,8.7
E02000356  Hackney 012,4317,303,1348,1336,309,51,24,15,56,480,395,30898.5,9
E02000357  Hackney 013,2083,286,431,699,184,25,11,17,39,127,264,17993.5,10.6
E02000358  Hackney 014,5965,558,1683,1786,478,66,16,21,70,629,658,37772.5,8.1
E02000359  Hackney 015,3118,328,648,1081,270,33,8,11,39,301,399,20923.8,8.7
