2011 super output area - middle layer,All usual residents,White,Mixed/multiple ethnic groups,Asian/Asian British,Black/African/Caribbean/Black British,Other ethnic group
E02000166  Camden 001,100,79.4,6.4,5.8,5.7,2.7
E02000167  Camden 002,100,84.8,4.7,6.7,1.9,1.9
E02000168  Camden 003,100,78.2,6.6,7.2,5.7,2.4
E02000169  Camden 004,100,75.9,6.1,11.7,2.4,3.9
E02000170  Camden 005,100,74.3,5.6,10.9,4.6,4.5
E02000171  Camden 006,100,77.1,6.2,9.7,4.3,2.7
E02000172  Camden 007,100,62.6,7,14.6,12,3.9
E02000173  Camden 008,100,70.1,6.7,16,3.9,3.3
E02000174  Camden 009,100,67.9,5.4,12.8,10.1,3.8
E02000175  Camden 010,100,70.3,5.6,13.2,7.4,3.4
E02000176  Camden 011,100,77.7,5.1,11.6,2.2,3.3
E02000177  Camden 012,100,64,5.9,13.8,12.3,3.9
E02000178  Camden 013,100,63.1,6.3,12.4,12.7,5.6
E02000179  Camden 014,100,66.6,5.6,14.6,10,3.2
E02000180  Camden 015,100,66.1,5.9,14.6,11,2.5
E02000181  Camden 016,100,75.8,4.5,12.8,3.8,3.1
E02000182  Camden 017,100,59.7,4.3,23.7,6.4,5.9
E02000183  Camden 018,100,77.2,5.2,8.9,5.7,3
E02000184  Camden 019,100,59,6.1,19.1,11.9,3.8
E02000185  Camden 020,100,58,5.3,14.2,14.5,8.1
E02000186  Camden 021,100,69.4,4.5,13.8,8.6,3.7
E02000187  Camden 022,100,47.1,5.5,28.1,15,4.3
E02000188  Camden 023,100,48.4,4.5,30.8,10.8,5.4
E02000189  Camden 024,100,45.4,6,30.3,14.7,3.7
E02000190  Camden 025,100,57,5.2,26.6,7.9,3.3
E02000191  Camden 026,100,56.8,4.5,27.6,6.4,4.8
E02000192  Camden 027,100,58.5,5.5,23.8,9,3.2
E02000193  Camden 028,100,64.4,5.5,20.9,5.4,3.8
E02000001  City of London 001,100,78.6,3.9,12.7,2.6,2.1
E02000345  Hackney 001,100,70.8,3.3,4.9,9.4,11.5
E02000346  Hackney 002,100,43.4,7.1,12.4,29.2,7.9
E02000347  Hackney 003,100,68.6,4.3,5.9,12.8,8.4
E02000348  Hackney 004,100,56.9,4.6,8.9,20.1,9.5
E02000350  Hackney 006,100,59.6,5.2,15.1,14.7,5.4
E02000351  Hackney 007,100,66.3,6.1,10.1,12.7,4.9
E02000352  Hackney 008,100,66.8,6.7,6.8,14.4,5.2
E02000353  Hackney 009,100,67.7,5.8,11.4,11.9,3.2
E02000354  Hackney 010,100,45.7,7.7,14,27.7,4.9
E02000355  Hackney 011,100,51.4,6.5,18.3,20.7,3.1
E02000356  Hackney 012,100,71.4,6.7,5.8,12.6,3.6
E02000357  Hackney 013,100,30.9,6.3,9.4,47.8,5.6
E02000358  Hackney 014,100,54.9,7,10.1,22.8,5.2
E02000359  Hackney 015,100,50.1,7.7,11.7,27,3.5
E02000360  Hackney 016,100,40.5,7,12.4,34.7,5.4
E02000361  Hackney 017,100,53.5,7.7,9.8,25.2,3.8
E02000362  Hackney 018,100,48.8,6.9,8.6,31.5,4.3
E02000363  Hackney 019,100,37,7.9,11,38.9,5.2
E02000364  Hackney 020,100,63.2,5.5,7.9,20.2,3.2
E02000365  Hackney 021,100,62.7,6.2,9.2,17.3,4.6
E02000366  Hackney 022,100,58.7,6,8,23.9,3.4
E02000367  Hackney 023,100,60.8,6.9,9.5,19.1,3.8
E02000368  Hackney 024,100,46.1,6.1,11.9,30.7,5.2
E02000369  Hackney 025,100,50.4,7,10.7,26.7,5.1
E02000370  Hackney 026,100,52.5,6.7,11.9,22.8,6.2
E02000371  Hackney 027,100,59.5,7,11.3,17.6,4.6
E02006918  Hackney 028,100,39.9,8.4,13.6,32.2,6
E02006921  Hackney 029,100,49.6,5.9,11.3,26.2,7.1
E02000372  Hammersmith and Fulham 001,100,50,6.9,13,21.1,9
E02000373  Hammersmith and Fulham 002,100,37.4,7,11,35.7,8.9
E02000374  Hammersmith and Fulham 003,100,61.3,6.6,9.4,15.7,7
E02000375  Hammersmith and Fulham 004,100,58.3,6.5,9.3,20.1,5.8
E02000376  Hammersmith and Fulham 005,100,61,6.6,10.4,15.7,6.4
