OA11CD,LSOA11CD,MSOA11CD,WD11CD_BF,WD11NM_BF,LAD11CD,LAD11NM,RGN11CD,RGN11NM,LSOA11NM,MSOA11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ
E00023264,E01004612,E02000954,E05000626,Tooting,E09000032,Wandsworth,E12000007,London,Wandsworth 032C,Wandsworth 032,462,459,3,115.2,143,3.2
E00003359,E01000692,E02000128,E05000111,Chislehurst,E09000006,Bromley,E12000007,London,Bromley 002D,Bromley 002,269,259,10,36.7,133,1.9
E00023266,E01004615,E02000956,E05000626,Tooting,E09000032,Wandsworth,E12000007,London,Wandsworth 034B,Wandsworth 034,277,277,0,183.4,133,2.1
E00020264,E01004027,E02000809,E05000548,Riverside,E09000028,Southwark,E12000007,London,Southwark 003E,Southwark 003,415,415,0,96.1,191,2.2
E00023263,E01004613,E02000955,E05000626,Tooting,E09000032,Wandsworth,E12000007,London,Wandsworth 033D,Wandsworth 033,304,304,0,165.2,131,2.3
E00007412,E01001492,E02000301,E05000204,Lower Edmonton,E09000010,Enfield,E12000007,London,Enfield 025E,Enfield 025,427,427,0,165.5,150,2.8
E00007413,E01001485,E02000301,E05000204,Lower Edmonton,E09000010,Enfield,E12000007,London,Enfield 025B,Enfield 025,344,344,0,177.3,120,2.9
E00175260,E01004722,E02000963,E05000642,Queen's Park,E09000033,Westminster,E12000007,London,Westminster 004E,Westminster 004,334,334,0,556.7,103,3.2
E00175261,E01004722,E02000963,E05000642,Queen's Park,E09000033,Westminster,E12000007,London,Westminster 004E,Westminster 004,323,323,0,266.9,104,3.1
E00022334,E01004442,E02000915,E05000605,Leytonstone,E09000031,Waltham Forest,E12000007,London,Waltham Forest 021E,Waltham Forest 021,320,320,0,108.5,141,2.3
E00022332,E01004436,E02000915,E05000605,Leytonstone,E09000031,Waltham Forest,E12000007,London,Waltham Forest 021B,Waltham Forest 021,342,342,0,35.8,137,2.5
E00022336,E01004438,E02000918,E05000605,Leytonstone,E09000031,Waltham Forest,E12000007,London,Waltham Forest 024C,Waltham Forest 024,356,326,30,38.4,133,2.5
E00022337,E01004436,E02000915,E05000605,Leytonstone,E09000031,Waltham Forest,E12000007,London,Waltham Forest 021B,Waltham Forest 021,332,302,30,66.3,106,2.8
E00019889,E01003956,E02000836,E05000539,East Dulwich,E09000028,Southwark,E12000007,London,Southwark 030C,Southwark 030,377,377,0,140.1,150,2.5
