2011 super output area - middle layer,All usual residents,Density (number of persons per hectare)
E02000166  Camden 001,7924,26.2
E02000167  Camden 002,7944,38.2
E02000168  Camden 003,8172,120.1
E02000169  Camden 004,7637,68
E02000170  Camden 005,8338,108.1
E02000171  Camden 006,7818,149.9
E02000172  Camden 007,10147,151.7
E02000173  Camden 008,7675,98.6
E02000174  Camden 009,8714,159.7
E02000175  Camden 010,8848,127.9
E02000176  Camden 011,6373,160.2
E02000177  Camden 012,8948,170.9
E02000178  Camden 013,8857,157.7
E02000179  Camden 014,6329,165.5
E02000180  Camden 015,8202,169
E02000181  Camden 016,7708,142.5
E02000182  Camden 017,6697,83.9
E02000183  Camden 018,7913,102.5
E02000184  Camden 019,8882,133.6
E02000185  Camden 020,8290,175.6
E02000186  Camden 021,6687,66.7
E02000187  Camden 022,8155,84.2
E02000188  Camden 023,8322,163.9
E02000189  Camden 024,5944,199.7
E02000190  Camden 025,7530,203.2
E02000191  Camden 026,7497,116.8
E02000192  Camden 027,7157,165.5
E02000193  Camden 028,7630,70.1
E02000001  City of London 001,7375,25.5
E02000345  Hackney 001,8838,144.4
E02000346  Hackney 002,6092,104.6
E02000347  Hackney 003,7956,116
E02000348  Hackney 004,8120,145.4
E02000350  Hackney 006,9502,167.7
E02000351  Hackney 007,8523,163.1
E02000352  Hackney 008,6883,90.2
E02000353  Hackney 009,7786,139.4
E02000354  Hackney 010,9502,119.8
E02000355  Hackney 011,8485,129.3
E02000356  Hackney 012,7346,182.3
E02000357  Hackney 013,6339,41.6
E02000358  Hackney 014,11058,179.4
E02000359  Hackney 015,6581,150.7
E02000360  Hackney 016,11292,206.7
E02000361  Hackney 017,7640,128.6
E02000362  Hackney 018,6363,49.1
E02000363  Hackney 019,10845,181.8
E02000364  Hackney 020,8867,133.5
E02000365  Hackney 021,12764,132.3
E02000366  Hackney 022,8514,132.3
E02000367  Hackney 023,9741,131.8
E02000368  Hackney 024,9614,151.5
E02000369  Hackney 025,11594,178.3
E02000370  Hackney 026,8301,170.1
E02000371  Hackney 027,12369,124
E02006918  Hackney 028,7611,146.7
E02006921  Hackney 029,7744,171
E02000372  Hammersmith and Fulham 001,9175,26.7
E02000373  Hammersmith and Fulham 002,6658,163.3
E02000374  Hammersmith and Fulham 003,6731,135.5
E02000375  Hammersmith and Fulham 004,7028,93.9
E02000376  Hammersmith and Fulham 005,6915,168.7
E02000377  Hammersmith and Fulham 006,8169,184.2
E02000378  Hammersmith and Fulham 007,6534,222.1
E02000379  Hammersmith and Fulham 008,7581,111.7
E02000380  Hammersmith and Fulham 009,5863,166.4
E02000381  Hammersmith and Fulham 010,7768,140.5
E02000382  Hammersmith and Fulham 011,6167,100
E02000383  Hammersmith and Fulham 012,9432,157.1
E02000384  Hammersmith and Fulham 013,7320,93.6
E02000385  Hammersmith and Fulham 014,6162,154.1
E02000386  Hammersmith and Fulham 015,8136,186
E02000387  Hammersmith and Fulham 016,6272,153.8
E02000388  Hammersmith and Fulham 017,8202,154.3
E02000389  Hammersmith and Fulham 018,8255,131.4
E02000390  Hammersmith and Fulham 019,6448,185.4
E02000391  Hammersmith and Fulham 020,7729,116.2
E02000392  Hammersmith and Fulham 021,9578,173.1
E02000393  Hammersmith and Fulham 022,6031,169.4
E02000394  Hammersmith and Fulham 023,7755,117.8
E02000395  Hammersmith and Fulham 024,5951,61.4
E02000396  Hammersmith and Fulham 025,6633,106.1
E02000397  Haringey 001,7815,138.6
E02000398  Haringey 002,7123,59.8
E02000400  Haringey 004,7668,57.5
E02000401  Haringey 005,6734,90.2
E02000402  Haringey 006,6697,70.5
E02000403  Haringey 007,7199,84.6
E02000404  Haringey 008,7315,114.1
E02000405  Haringey 009,6548,36.7
E02000406  Haringey 010,7025,153.4
E02000407  Haringey 011,7312,140.1
E02000408  Haringey 012,7612,147
E02000409  Haringey 013,6527,94
E02000410  Haringey 014,6693,89
E02000411  Haringey 015,7452,53.5
E02000412  Haringey 016,6914,89.6
E02000413  Haringey 017,7500,61.5
E02000414  Haringey 018,7171,175.2
E02000415  Haringey 019,6845,97.2
E02000416  Haringey 020,7490,119.1
E02000417  Haringey 021,6676,63
E02000418  Haringey 022,5509,77.2
E02000419  Haringey 023,8108,126.3
E02000420  Haringey 024,7432,128.8
E02000421  Haringey 025,7148,91.2
E02000422  Haringey 026,7825,144.2
E02000423  Haringey 027,6813,122.8
E02000424  Haringey 028,7198,108.1
E02000425  Haringey 029,7256,134.1
E02000426  Haringey 030,6731,30.2
E02000427  Haringey 031,6854,63.8
E02000428  Haringey 032,7022,117.7
E02000429  Haringey 033,6852,69.9
E02000430  Haringey 034,7417,112.6
E02000431  Haringey 035,6685,109.6
E02000432  Haringey 036,6454,120.4
E02006794  Haringey 037,7306,105.4
E02000554  Islington 001,9182,144.1
E02000555  Islington 002,9408,157.8
E02000556  Islington 003,10008,153.7
E02000557  Islington 004,8124,114.7
E02000558  Islington 005,8870,184.3
E02000559  Islington 006,8778,152.2
E02000560  Islington 007,7076,140.6
E02000561  Islington 008,7746,126.3
E02000562  Islington 009,7934,122.4
E02000563  Islington 010,8486,146.4
E02000564  Islington 011,10488,129.9
E02000565  Islington 012,8187,159.7
E02000566  Islington 013,8164,116.6
E02000567  Islington 014,10358,155.9
E02000568  Islington 015,9625,106.6
E02000569  Islington 016,10022,143.1
E02000570  Islington 017,8615,143.3
E02000571  Islington 018,8031,161.3
E02000572  Islington 019,8571,186.9
E02000573  Islington 020,8674,119.6
E02000574  Islington 021,8501,139.8
E02000575  Islington 022,11889,127.9
E02000576  Islington 023,9388,124.2
E02000577  Kensington and Chelsea 001,7199,82.6
E02000578  Kensington and Chelsea 002,5798,112.9
E02000579  Kensington and Chelsea 003,8616,141.1
E02000580  Kensington and Chelsea 004,8655,218.5
E02000581  Kensington and Chelsea 005,7298,169.2
E02000582  Kensington and Chelsea 006,7659,157
E02000583  Kensington and Chelsea 007,7303,126.9
E02000584  Kensington and Chelsea 008,8178,89.7
E02000585  Kensington and Chelsea 009,8384,92.4
E02000586  Kensington and Chelsea 010,7769,147.9
E02000587  Kensington and Chelsea 011,7523,144
E02000588  Kensington and Chelsea 012,8159,106.4
E02000589  Kensington and Chelsea 013,8444,227.7
E02000590  Kensington and Chelsea 014,7015,152.3
E02000591  Kensington and Chelsea 015,6769,187.6
E02000592  Kensington and Chelsea 016,6761,119.2
E02000593  Kensington and Chelsea 017,7624,153
E02000594  Kensington and Chelsea 018,7252,93.7
E02000595  Kensington and Chelsea 019,7331,115.4
E02000596  Kensington and Chelsea 020,7782,142.1
E02000597  Kensington and Chelsea 021,7130,180.5
E02000619  Lambeth 002,8054,146.9
E02000620  Lambeth 003,9370,129
E02000621  Lambeth 004,10429,143.1
E02000622  Lambeth 005,8094,104
E02000623  Lambeth 006,7990,174.2
E02000624  Lambeth 007,7976,138.6
E02000625  Lambeth 008,8361,150.6
E02000626  Lambeth 009,8301,149.4
E02000627  Lambeth 010,9571,181.9
E02000628  Lambeth 011,9731,148.4
E02000629  Lambeth 012,9033,140.8
E02000630  Lambeth 013,7266,107.1
E02000631  Lambeth 014,8832,83
E02000632  Lambeth 015,9516,180.2
E02000633  Lambeth 016,8642,136.9
E02000634  Lambeth 017,6846,131.4
E02000635  Lambeth 018,9157,73.7
E02000636  Lambeth 019,7639,82.7
E02000637  Lambeth 020,8687,148.7
E02000638  Lambeth 021,9898,144.5
E02000639  Lambeth 022,8119,139
E02000640  Lambeth 023,9123,111.5
E02000641  Lambeth 024,8779,143.9
E02000642  Lambeth 025,9628,88.8
E02000643  Lambeth 026,8369,119.4
E02000644  Lambeth 027,8620,95.3
E02000645  Lambeth 028,9020,79.6
E02000646  Lambeth 029,9121,96.2
E02000647  Lambeth 030,8483,87.7
E02000648  Lambeth 031,7791,110.6
E02000649  Lambeth 032,11181,108
E02000650  Lambeth 033,7424,96.2
E02000651  Lambeth 034,8591,76.7
E02000652  Lambeth 035,7363,107.1
E02006801  Lambeth 036,8081,70.8
E02000653  Lewisham 001,8544,126.3
E02000654  Lewisham 002,8059,85.2
E02000655  Lewisham 003,8208,83.9
E02000657  Lewisham 005,9078,103.9
E02000658  Lewisham 006,8314,107.4
E02000659  Lewisham 007,7697,75
E02000660  Lewisham 008,8078,99.4
E02000661  Lewisham 009,6342,49.3
E02000662  Lewisham 010,8100,105.2
E02000663  Lewisham 011,7194,109.6
E02000664  Lewisham 012,9928,70.2
E02000665  Lewisham 013,7916,98.9
E02000666  Lewisham 014,7321,76.9
E02000667  Lewisham 015,6534,89.8
E02000668  Lewisham 016,6657,66
E02000669  Lewisham 017,7518,117
E02000670  Lewisham 018,6539,105.2
E02000671  Lewisham 019,8403,84.5
E02000672  Lewisham 020,8377,72.3
E02000673  Lewisham 021,8007,75.5
E02000674  Lewisham 022,8015,98
E02000675  Lewisham 023,8204,57.2
E02000676  Lewisham 024,7713,103.4
E02000677  Lewisham 025,7199,68.5
E02000678  Lewisham 026,6087,58.9
E02000679  Lewisham 027,7905,84.2
E02000680  Lewisham 028,6847,89.2
E02000681  Lewisham 029,8094,59.8
E02000682  Lewisham 030,8162,68.6
E02000683  Lewisham 031,6444,67.2
E02000685  Lewisham 033,7679,79.4
E02000686  Lewisham 034,6681,38.6
E02000687  Lewisham 035,7926,102
E02006783  Lewisham 037,7208,76.8
E02006784  Lewisham 038,7359,51
E02006798  Lewisham 039,7548,91.9
E02000714  Newham 001,8133,148
E02000715  Newham 002,7381,172.9
E02000716  Newham 003,7354,47
E02000717  Newham 004,8101,162.4
E02000718  Newham 005,6844,109.5
E02000719  Newham 006,8216,118.3
E02000720  Newham 007,7483,142.6
E02000721  Newham 008,9665,163.9
E02000722  Newham 009,8226,181.9
E02000723  Newham 010,10600,149.3
E02000724  Newham 011,9415,189.4
E02000725  Newham 012,8876,111.9
E02000726  Newham 013,8892,26.2
E02000727  Newham 014,8305,210.4
E02000728  Newham 015,8227,125.5
E02000729  Newham 016,7080,100.5
E02000730  Newham 017,8992,178.6
E02000731  Newham 018,10073,173.4
E02000732  Newham 019,7566,171.4
E02000733  Newham 020,9754,131.8
E02000734  Newham 021,7642,200.9
E02000735  Newham 022,7582,138.3
E02000736  Newham 023,8571,68.3
E02000737  Newham 024,9434,112.2
E02000738  Newham 025,8467,184.3
E02000739  Newham 026,6894,152.1
E02000740  Newham 027,6779,53.7
E02000741  Newham 028,8261,109.3
E02000742  Newham 029,8005,101.2
E02000743  Newham 030,7866,125.4
E02000744  Newham 031,8029,134.2
E02000745  Newham 032,8141,112.5
E02000746  Newham 033,7382,17.5
E02000747  Newham 034,10646,56.1
E02000748  Newham 035,6240,46.9
E02000749  Newham 036,8183,57.7
E02000750  Newham 037,10679,32.3
E02000807  Southwark 001,8313,116.8
E02000808  Southwark 002,9102,87
E02000809  Southwark 003,11711,152.9
E02000810  Southwark 004,9144,133.2
E02000812  Southwark 006,10290,146.6
E02000813  Southwark 007,8591,96.1
E02000814  Southwark 008,8652,88
E02000815  Southwark 009,6497,154.4
E02000816  Southwark 010,9043,119.1
E02000817  Southwark 011,6494,98.1
E02000818  Southwark 012,7534,128.9
E02000819  Southwark 013,8315,154.9
E02000820  Southwark 014,8503,189
E02000821  Southwark 015,8386,116.7
E02000822  Southwark 016,8111,169.3
E02000823  Southwark 017,7733,120.1
E02000824  Southwark 018,9568,98.4
E02000825  Southwark 019,9649,181
E02000826  Southwark 020,8888,161.7
E02000827  Southwark 021,10359,152.1
E02000828  Southwark 022,8383,131.8
E02000829  Southwark 023,10389,131.2
E02000830  Southwark 024,8870,106.1
E02000831  Southwark 025,9378,116.4
E02000832  Southwark 026,9960,117.8
E02000833  Southwark 027,7755,93.9
E02000834  Southwark 028,9199,75.8
E02000835  Southwark 029,7236,49.6
E02000836  Southwark 030,8240,109
E02000837  Southwark 031,9085,38.2
E02000838  Southwark 032,9180,85.8
E02000839  Southwark 033,8036,29.1
E02006802  Southwark 034,7689,111.5
E02000864  Tower Hamlets 001,8297,65.8
E02000865  Tower Hamlets 002,7051,152.1
E02000866  Tower Hamlets 003,9662,85.2
E02000867  Tower Hamlets 004,9761,120.6
E02000868  Tower Hamlets 005,6632,184.6
E02000869  Tower Hamlets 006,5705,177
E02000870  Tower Hamlets 007,6477,164
E02000871  Tower Hamlets 008,8591,128.4
E02000872  Tower Hamlets 009,7501,164.3
E02000873  Tower Hamlets 010,8713,172.6
E02000874  Tower Hamlets 011,7129,207.9
E02000875  Tower Hamlets 012,9440,141.4
E02000876  Tower Hamlets 013,7037,130.7
E02000877  Tower Hamlets 014,9803,121.3
E02000878  Tower Hamlets 015,10286,161.1
E02000879  Tower Hamlets 016,7634,172
E02000880  Tower Hamlets 017,5776,155.1
E02000881  Tower Hamlets 018,6909,98
E02000882  Tower Hamlets 019,8604,149.8
E02000883  Tower Hamlets 020,7950,168.1
E02000884  Tower Hamlets 021,9086,166.6
E02000885  Tower Hamlets 022,6895,204.1
E02000886  Tower Hamlets 023,7326,149.7
E02000887  Tower Hamlets 024,8660,148.6
E02000888  Tower Hamlets 025,8215,155.9
E02000889  Tower Hamlets 026,6616,114.1
E02000890  Tower Hamlets 027,5795,103
E02000891  Tower Hamlets 028,12678,83.1
E02000893  Tower Hamlets 030,6783,94.4
E02000894  Tower Hamlets 031,10137,185
E02006853  Tower Hamlets 032,7064,141.4
E02006854  Tower Hamlets 033,5883,64.4
E02000923  Wandsworth 001,7474,69.8
E02000924  Wandsworth 002,11131,55
E02000925  Wandsworth 003,7848,177.6
E02000926  Wandsworth 004,8936,141.9
E02000927  Wandsworth 005,6790,150.9
E02000928  Wandsworth 006,8458,90
E02000929  Wandsworth 007,7277,180.6
E02000930  Wandsworth 008,9676,119.4
E02000931  Wandsworth 009,8474,106.5
E02000932  Wandsworth 010,10296,81.3
E02000933  Wandsworth 011,8781,81.7
E02000934  Wandsworth 012,9105,116
E02000935  Wandsworth 013,6850,48
E02000936  Wandsworth 014,8330,92.4
E02000937  Wandsworth 015,7724,62.6
E02000938  Wandsworth 016,9546,54.2
E02000939  Wandsworth 017,7968,109.4
E02000940  Wandsworth 018,7835,111.8
E02000941  Wandsworth 019,9941,93.7
E02000942  Wandsworth 020,9665,95.6
E02000943  Wandsworth 021,8402,119.1
E02000944  Wandsworth 022,7206,123
E02000945  Wandsworth 023,7620,34.5
E02000946  Wandsworth 024,8795,82.5
E02000947  Wandsworth 025,8675,104.2
E02000948  Wandsworth 026,9877,74.4
E02000949  Wandsworth 027,9805,70.1
E02000950  Wandsworth 028,7578,88.2
E02000951  Wandsworth 029,6650,135.3
E02000952  Wandsworth 030,6257,112
E02000953  Wandsworth 031,7084,102.9
E02000954  Wandsworth 032,6429,142.8
E02000955  Wandsworth 033,6714,119.7
E02000956  Wandsworth 034,7705,89.9
E02000957  Wandsworth 035,10589,142.4
E02000958  Wandsworth 036,8271,92.8
E02000959  Wandsworth 037,7233,138.5
E02000960  Westminster 001,6620,71.8
E02000961  Westminster 002,9442,116.2
E02000962  Westminster 003,8624,124.3
E02000963  Westminster 004,10363,212.9
E02000964  Westminster 005,12549,246.7
E02000965  Westminster 006,8627,175.6
E02000966  Westminster 007,9708,173.3
E02000967  Westminster 008,7289,51.5
E02000968  Westminster 009,14358,235.9
E02000969  Westminster 010,9329,171.8
E02000970  Westminster 011,8983,82.9
E02000971  Westminster 012,8408,155.5
E02000972  Westminster 013,8333,64.5
E02000973  Westminster 014,10090,186
E02000974  Westminster 015,8794,127.6
E02000975  Westminster 016,8757,180.8
E02000976  Westminster 017,9946,215.4
E02000977  Westminster 018,7490,29.8
E02000978  Westminster 019,9270,25.8
E02000979  Westminster 020,8081,58.1
E02000980  Westminster 021,8684,193.7
E02000981  Westminster 022,8991,247.2
E02000982  Westminster 023,8226,126
E02000983  Westminster 024,8434,223.4
E02000002  Barking and Dagenham 001,6775,31.3
E02000003  Barking and Dagenham 002,10045,46.9
E02000004  Barking and Dagenham 003,6182,24.8
E02000005  Barking and Dagenham 004,8562,72.1
E02000007  Barking and Dagenham 006,8791,50.6
E02000008  Barking and Dagenham 007,11569,81.5
E02000009  Barking and Dagenham 008,8395,87.4
E02000010  Barking and Dagenham 009,8615,76.8
E02000011  Barking and Dagenham 010,6187,38.8
E02000012  Barking and Dagenham 011,9888,76
E02000013  Barking and Dagenham 012,8402,64.4
E02000014  Barking and Dagenham 013,9402,78.8
E02000015  Barking and Dagenham 014,7563,55.5
E02000016  Barking and Dagenham 015,7676,86.6
E02000017  Barking and Dagenham 016,8498,97
E02000018  Barking and Dagenham 017,8890,65.5
E02000019  Barking and Dagenham 018,8276,27.2
E02000020  Barking and Dagenham 019,9276,27.1
E02000021  Barking and Dagenham 020,7904,27.4
E02000022  Barking and Dagenham 021,8777,117.2
E02000023  Barking and Dagenham 022,6482,37.1
E02006799  Barking and Dagenham 023,9756,83.8
E02000024  Barnet 001,10156,27.1
E02000025  Barnet 002,7956,33.1
E02000026  Barnet 003,6313,43.1
E02000027  Barnet 004,9598,57.3
E02000028  Barnet 005,6166,58.4
E02000029  Barnet 006,8517,50.6
