2011 super output area - middle layer,All categories: Highest level of qualification,No qualifications
E02000166 : Camden 001,6541,861
E02000167 : Camden 002,6541,361
E02000168 : Camden 003,6795,844
E02000169 : Camden 004,6193,416
E02000170 : Camden 005,7094,542
E02000171 : Camden 006,6444,650
E02000172 : Camden 007,8151,1817
E02000173 : Camden 008,6403,387
E02000174 : Camden 009,7287,1056
E02000175 : Camden 010,7720,664
E02000176 : Camden 011,5476,297
E02000177 : Camden 012,7233,1384
E02000178 : Camden 013,7630,1102
E02000179 : Camden 014,5010,579
E02000180 : Camden 015,6854,917
E02000181 : Camden 016,6632,434
E02000182 : Camden 017,5477,651
E02000183 : Camden 018,6660,758
E02000184 : Camden 019,7352,1270
E02000185 : Camden 020,6695,1243
E02000186 : Camden 021,5891,745
E02000187 : Camden 022,6386,1621
E02000188 : Camden 023,6820,1363
E02000189 : Camden 024,4801,740
E02000190 : Camden 025,6707,794
E02000191 : Camden 026,7019,408
E02000192 : Camden 027,5986,959
E02000193 : Camden 028,7075,588
E02000001 : City of London 001,6755,454
E02000345 : Hackney 001,5665,1812
E02000346 : Hackney 002,4869,1342
E02000347 : Hackney 003,5493,1573
E02000348 : Hackney 004,5399,1681
E02000350 : Hackney 006,7532,1253
E02000351 : Hackney 007,7417,834
E02000352 : Hackney 008,5303,1002
E02000353 : Hackney 009,6480,804
E02000354 : Hackney 010,7609,1596
E02000355 : Hackney 011,7006,1227
E02000356 : Hackney 012,6063,716
E02000357 : Hackney 013,4545,1254
E02000358 : Hackney 014,9260,1577
E02000359 : Hackney 015,5182,1023
E02000360 : Hackney 016,8857,1826
E02000361 : Hackney 017,6405,1032
E02000362 : Hackney 018,5008,1115
E02000363 : Hackney 019,7995,2098
E02000364 : Hackney 020,7465,1084
E02000365 : Hackney 021,11118,1628
E02000366 : Hackney 022,6770,1533
E02000367 : Hackney 023,8002,1029
E02000368 : Hackney 024,7676,1748
E02000369 : Hackney 025,9471,1861
E02000370 : Hackney 026,6822,1402
E02000371 : Hackney 027,10822,1291
E02006918 : Hackney 028,5560,1169
E02006921 : Hackney 029,5351,1662
E02000372 : Hammersmith and Fulham 001,7307,1681
E02000373 : Hammersmith and Fulham 002,4902,1260
E02000374 : Hammersmith and Fulham 003,5453,962
E02000375 : Hammersmith and Fulham 004,5886,888
E02000376 : Hammersmith and Fulham 005,5966,792
E02000377 : Hammersmith and Fulham 006,6835,982
E02000378 : Hammersmith and Fulham 007,5698,534
E02000379 : Hammersmith and Fulham 008,6181,679
E02000380 : Hammersmith and Fulham 009,4838,506
E02000381 : Hammersmith and Fulham 010,6429,611
E02000382 : Hammersmith and Fulham 011,5083,502
E02000383 : Hammersmith and Fulham 012,8421,764
E02000384 : Hammersmith and Fulham 013,6211,1078
E02000385 : Hammersmith and Fulham 014,5648,376
E02000386 : Hammersmith and Fulham 015,6726,1152
E02000387 : Hammersmith and Fulham 016,5390,754
E02000388 : Hammersmith and Fulham 017,7220,926
E02000389 : Hammersmith and Fulham 018,7005,753
E02000390 : Hammersmith and Fulham 019,5498,689
E02000391 : Hammersmith and Fulham 020,6426,700
E02000392 : Hammersmith and Fulham 021,7861,781
E02000393 : Hammersmith and Fulham 022,5129,412
E02000394 : Hammersmith and Fulham 023,6440,798
E02000395 : Hammersmith and Fulham 024,5039,317
E02000396 : Hammersmith and Fulham 025,5271,618
E02000397 : Haringey 001,6447,1096
E02000398 : Haringey 002,5214,1472
E02000400 : Haringey 004,6016,986
E02000401 : Haringey 005,4878,1488
E02000402 : Haringey 006,4872,1438
E02000403 : Haringey 007,6011,1000
E02000404 : Haringey 008,5718,1344
E02000405 : Haringey 009,5128,393
E02000406 : Haringey 010,5603,1179
E02000407 : Haringey 011,5577,1372
E02000408 : Haringey 012,5709,1536
E02000409 : Haringey 013,5040,1359
E02000410 : Haringey 014,5448,394
E02000411 : Haringey 015,5793,1306
E02000412 : Haringey 016,5674,1162
E02000413 : Haringey 017,5699,569
E02000414 : Haringey 018,5653,1157
E02000415 : Haringey 019,5692,1206
E02000416 : Haringey 020,6119,984
E02000417 : Haringey 021,5512,422
E02000418 : Haringey 022,4468,435
E02000419 : Haringey 023,6871,1069
E02000420 : Haringey 024,5947,1354
E02000421 : Haringey 025,5656,1277
E02000422 : Haringey 026,6137,1411
E02000423 : Haringey 027,5830,1034
E02000424 : Haringey 028,5894,616
E02000425 : Haringey 029,4679,1349
E02000426 : Haringey 030,5573,520
E02000427 : Haringey 031,5884,740
E02000428 : Haringey 032,5528,1271
E02000429 : Haringey 033,5710,340
E02000430 : Haringey 034,6308,462
E02000431 : Haringey 035,5773,254
E02000432 : Haringey 036,5482,568
E02006794 : Haringey 037,5313,1600
E02000554 : Islington 001,7366,1425
E02000555 : Islington 002,7673,1301
E02000556 : Islington 003,8392,1312
E02000557 : Islington 004,6846,1285
E02000558 : Islington 005,6804,1868
E02000559 : Islington 006,7434,849
E02000560 : Islington 007,6240,914
E02000561 : Islington 008,6550,682
E02000562 : Islington 009,6496,1101
E02000563 : Islington 010,7062,1536
E02000564 : Islington 011,9119,1250
E02000565 : Islington 012,6586,1248
E02000566 : Islington 013,6936,808
E02000567 : Islington 014,8734,1470
E02000568 : Islington 015,8108,1937
E02000569 : Islington 016,8313,1583
E02000570 : Islington 017,7438,732
E02000571 : Islington 018,6705,1480
E02000572 : Islington 019,6930,1753
E02000573 : Islington 020,7615,901
E02000574 : Islington 021,7504,1108
E02000575 : Islington 022,10609,1360
