MSOA Code,Fatal,Serious,Slight,2011 Total
E02000001,0,46,359,405
E02000002,0,2,16,18
E02000003,1,4,40,45
E02000004,0,2,7,9
E02000005,0,2,27,29
E02000007,1,1,18,20
E02000008,0,1,28,29
E02000009,0,4,22,26
E02000010,0,2,11,13
E02000011,0,1,17,18
E02000012,0,1,12,13
E02000013,0,0,13,13
E02000014,0,3,21,24
E02000015,0,1,7,8
E02000016,0,0,31,31
E02000017,1,2,17,20
E02000018,0,5,43,48
E02000019,1,4,42,47
E02000020,0,2,52,54
E02000021,0,4,18,22
E02000022,0,3,31,34
E02000023,0,1,48,49
E02006799,0,0,26,26
E02000024,0,4,22,26
E02000025,0,3,5,8
E02000026,0,1,4,5
E02000027,0,3,12,15
E02000028,0,2,19,21
E02000029,0,2,14,16
E02000030,2,5,44,51
E02000031,0,4,26,30
E02000032,1,2,9,12
E02000033,0,5,21,26
E02000034,0,1,22,23
E02000035,0,1,18,19
E02000036,1,1,50,52
E02000037,0,4,26,30
E02000038,0,5,37,42
E02000039,0,8,41,49
E02000040,0,1,17,18
E02000041,0,1,40,41
E02000042,1,2,36,39
E02000043,0,3,8,11
E02000044,0,1,18,19
E02000045,0,4,41,45
E02000046,0,2,27,29
E02000047,0,3,32,35
E02000048,0,3,29,32
E02000049,0,1,5,6
E02000050,0,4,34,38
E02000051,1,5,54,60
E02000052,0,2,20,22
E02000053,1,1,23,25
E02000054,0,3,37,40
E02000055,0,10,54,64
E02000056,0,4,30,34
E02000057,0,2,33,35
E02000058,1,6,36,43
E02000059,0,3,48,51
E02000060,0,2,52,54
E02000061,0,4,21,25
E02000062,0,0,77,77
E02000063,0,2,31,33
E02000064,0,1,16,17
E02000065,0,0,16,16
E02000066,0,2,3,5
E02000067,0,3,21,24
E02000068,0,2,21,23
E02000069,0,0,19,19
E02000070,0,0,13,13
E02000071,0,1,12,13
E02000072,0,1,5,6
E02000073,1,1,20,22
E02000074,0,0,27,27
E02000075,0,2,15,17
E02000077,0,1,5,6
E02000078,0,1,14,15
E02000079,0,3,26,29
E02000080,0,0,30,30
E02000081,1,4,18,23
E02000082,0,3,17,20
E02000083,1,6,31,38
E02000084,0,2,34,36
E02000085,0,3,24,27
E02000086,0,0,4,4
E02000087,0,3,34,37
E02000088,0,0,10,10
E02000089,1,2,4,7
E02000090,0,2,24,26
E02000091,0,0,20,20
