2011 super output area - middle layer,All households,Owned,Shared ownership (part owned and part rented),Social rented,Private rented,Living rent free
E02000166 : Camden 001,100,45.1,0.8,36,16.1,2
E02000167 : Camden 002,100,55.6,0.2,8.4,33.4,2.5
E02000168 : Camden 003,100,42,0.8,29.3,26.7,1.3
E02000169 : Camden 004,100,55.4,0.2,7.4,34,2.9
E02000170 : Camden 005,100,44.6,0.7,11.3,42.2,1.3
E02000171 : Camden 006,100,43.3,0.9,25.9,28.3,1.6
E02000172 : Camden 007,100,21.8,1.5,58.9,16.6,1.2
E02000173 : Camden 008,100,39.5,0.3,14.7,43.1,2.4
E02000174 : Camden 009,100,30.7,0.5,41.4,25.9,1.4
E02000175 : Camden 010,100,32.6,0.4,20.3,45.3,1.4
E02000176 : Camden 011,100,45.8,0.3,8.8,43.3,1.9
E02000177 : Camden 012,100,26.2,0.6,49.1,23.1,1
E02000178 : Camden 013,100,26.9,0.6,32.7,38.7,1
E02000179 : Camden 014,100,36.6,0.2,31.9,30,1.3
E02000180 : Camden 015,100,29.1,0.5,38.2,31.1,1.2
E02000181 : Camden 016,100,42.5,0.2,15.4,40.7,1.1
E02000182 : Camden 017,100,38.2,0.4,18.3,39.1,3.9
E02000183 : Camden 018,100,39,0.5,29.1,29.7,1.6
E02000184 : Camden 019,100,20.2,3.4,45.8,29.7,0.8
E02000185 : Camden 020,100,20.7,1.7,45.5,30.7,1.5
E02000186 : Camden 021,100,27.8,0.8,27.9,41,2.5
E02000187 : Camden 022,100,12,0.4,69.5,16.4,1.6
E02000188 : Camden 023,100,13.7,0.6,61.7,22.7,1.3
E02000189 : Camden 024,100,12.6,0.5,55.9,28.2,2.7
E02000190 : Camden 025,100,20.9,0.2,43.7,32.6,2.6
E02000191 : Camden 026,100,24.9,0.4,23.1,48.4,3.2
E02000192 : Camden 027,100,20,0.2,50.6,27.2,2
E02000193 : Camden 028,100,28.8,0.8,27.9,39.5,3
E02000001 : City of London 001,100,42.3,0.3,16.5,35.9,5
E02000345 : Hackney 001,100,27.8,4.1,23.6,43.1,1.4
E02000346 : Hackney 002,100,11.3,1.8,67.2,18.5,1.2
E02000347 : Hackney 003,100,27.3,0.7,37.3,33.8,1
E02000348 : Hackney 004,100,19.7,1.1,47.3,30.3,1.6
E02000350 : Hackney 006,100,32.5,2.1,24.1,40.1,1.1
E02000351 : Hackney 007,100,29.4,2.2,23.7,43.5,1.3
E02000352 : Hackney 008,100,31.6,3.2,39.7,24.5,1.1
E02000353 : Hackney 009,100,41.4,0.4,21.7,35.6,0.9
E02000354 : Hackney 010,100,21.4,2.8,47.1,27.7,1
E02000355 : Hackney 011,100,38.3,1.5,25,34,1.2
E02000356 : Hackney 012,100,40.4,1.7,27.4,29.7,0.8
E02000357 : Hackney 013,100,14.1,0.4,71.4,12.6,1.4
E02000358 : Hackney 014,100,27,1.8,39.6,30.6,1
E02000359 : Hackney 015,100,40.1,1.2,33.1,24.1,1.6
E02000360 : Hackney 016,100,15.3,1.8,60.6,20.8,1.5
E02000361 : Hackney 017,100,20.3,1.4,39.6,37.8,1
E02000362 : Hackney 018,100,22.8,6.3,44.9,24.9,1.2
E02000363 : Hackney 019,100,14.4,2.9,67.6,13.9,1.2
E02000364 : Hackney 020,100,31,1.9,38.9,27,1.1
E02000365 : Hackney 021,100,25.7,1.7,33.4,37.7,1.3
E02000366 : Hackney 022,100,22.5,1.5,57.4,16.9,1.8
E02000367 : Hackney 023,100,24.7,4.6,38.5,31.2,1
E02000368 : Hackney 024,100,18.4,0.7,62.1,17.4,1.4
E02000369 : Hackney 025,100,14.8,6.2,53.2,24.3,1.5
E02000370 : Hackney 026,100,17.5,4.2,55.1,22,1.2
